,time,MPL,MOAS_prefix_num,MOAS_AS,MOAS,new_MOAS,MOAS_num,withdraw_num,peer_increase,peer_num,new_prefix_num,MOAS_Ann_num,own_Ann_num,new_sub_prefix,Victim_AS,Diff_Ann,duplicate_ann,withdraw_unique_prefix_num,withdraw_unique_prefix,diff_3,diff_2,diff_4,label_0,label_1,label_2,label_3,len_path8,len_path7,len_path9,len_path11,len_path12,ann_shorter_1,ann_longer_1,len_path14,ann_longer_3,diff_1,ann_shorter_3,len_path6,len_path4,ann_shorter_2,ann_longer_2,diff_6,diff_5,len_path10,ann_longer_0,ann_shorter_4,ann_longer_4,len_path5,len_path13,diff_7,ann_shorter_5,ann_longer_5,diff_8,ann_shorter_7,diff_10,ann_longer_6,ann_shorter_6,diff_9,len_path15
1587733020.0,2020-04-24 12:57:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,5,0,0,0,set(),24309,0,0,1,{'49.205.84.0/22'},,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587733080.0,2020-04-24 12:58:00,11,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,114,set(),24309,7,107,0,set(),3.0,1.0,2.0,0,0,0,0,2.0,2.0,2.0,1.0,,2.0,2.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1587733140.0,2020-04-24 12:59:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),24309,0,0,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587733200.0,2020-04-24 13:00:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,1,set(),24309,0,1,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587733260.0,2020-04-24 13:01:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,1,set(),24309,1,0,0,set(),,,1.0,0,0,0,0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1587733320.0,2020-04-24 13:02:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,5,0,0,0,set(),24309,0,0,1,{'49.205.84.0/22'},,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587733380.0,2020-04-24 13:03:00,10,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,91,set(),24309,8,83,0,set(),3.0,1.0,2.0,0,0,0,0,3.0,2.0,1.0,1.0,,2.0,3.0,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
1587733440.0,2020-04-24 13:04:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,2,set(),24309,1,1,0,set(),,,1.0,0,0,0,0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1587733500.0,2020-04-24 13:05:00,11,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,1,set(),24309,1,0,0,set(),,,1.0,0,0,0,0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587733560.0,2020-04-24 13:06:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,5,0,0,0,set(),24309,0,0,1,{'49.205.84.0/22'},,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587733620.0,2020-04-24 13:07:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,1,set(),24309,1,0,0,set(),,,1.0,0,0,0,0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1587733680.0,2020-04-24 13:08:00,7,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,4,set(),24309,3,1,0,set(),1.0,,1.0,0,0,0,0,1.0,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,
1587733740.0,2020-04-24 13:09:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,1,set(),24309,0,1,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587733800.0,2020-04-24 13:10:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,5,0,0,1,set(),24309,1,0,1,{'49.205.84.0/22'},,,1.0,0,0,0,0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1587733860.0,2020-04-24 13:11:00,11,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,1,set(),24309,1,0,0,set(),,,1.0,0,0,0,0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587733920.0,2020-04-24 13:12:00,9,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,39,set(),24309,6,33,0,set(),2.0,1.0,3.0,0,0,0,0,2.0,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587733980.0,2020-04-24 13:13:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,1,set(),24309,0,1,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587734040.0,2020-04-24 13:14:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,5,0,0,1,set(),24309,1,0,1,{'49.205.84.0/22'},,,1.0,0,0,0,0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1587734100.0,2020-04-24 13:15:00,11,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,2,set(),24309,1,1,0,set(),,,1.0,0,0,0,0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587734160.0,2020-04-24 13:16:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,1,set(),24309,1,0,0,set(),,,1.0,0,0,0,0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1587734220.0,2020-04-24 13:17:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,5,0,0,0,set(),24309,0,0,1,{'49.205.84.0/22'},,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587734280.0,2020-04-24 13:18:00,8,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,87,set(),24309,6,81,0,set(),3.0,1.0,1.0,0,0,0,0,3.0,2.0,1.0,,,2.0,3.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
1587734340.0,2020-04-24 13:19:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),24309,0,0,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587734400.0,2020-04-24 13:20:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),24309,0,0,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587734460.0,2020-04-24 13:21:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),24309,0,0,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587734520.0,2020-04-24 13:22:00,8,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,3,set(),24309,1,2,0,set(),,,,0,0,0,0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
1587734580.0,2020-04-24 13:23:00,8,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,2,set(),24309,1,1,0,set(),,,,0,0,0,0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
1587734640.0,2020-04-24 13:24:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),24309,0,0,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587734700.0,2020-04-24 13:25:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),24309,0,0,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587734760.0,2020-04-24 13:26:00,11,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,2,set(),24309,1,1,0,set(),,,1.0,0,0,0,0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587734820.0,2020-04-24 13:27:00,7,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,5,0,0,4,set(),24309,1,3,1,{'49.205.84.0/22'},1.0,,,0,0,0,0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587734880.0,2020-04-24 13:28:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,1,set(),24309,0,1,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
