,time,MPL,MOAS_prefix_num,MOAS_AS,MOAS,new_MOAS,MOAS_num,withdraw_num,peer_increase,peer_num,new_prefix_num,MOAS_Ann_num,own_Ann_num,new_sub_prefix,Victim_AS,Diff_Ann,duplicate_ann,withdraw_unique_prefix_num,withdraw_unique_prefix,label_0,label_1,label_2,label_3,diff_1,len_path3,len_path2,ann_shorter_1,ann_longer_1,len_path4,len_path5,diff_2,ann_longer_0
1587733080.0,2020-04-24 12:58:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587733140.0,2020-04-24 12:59:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587733200.0,2020-04-24 13:00:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587733260.0,2020-04-24 13:01:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587733320.0,2020-04-24 13:02:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587733380.0,2020-04-24 13:03:00,3,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,1,3,0,0,18,set(),18106,0,17,0,set(),0,0,0,0,,1.0,,,,,,,
1587733440.0,2020-04-24 13:04:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587733500.0,2020-04-24 13:05:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587733560.0,2020-04-24 13:06:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587733620.0,2020-04-24 13:07:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587733680.0,2020-04-24 13:08:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587733740.0,2020-04-24 13:09:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587733800.0,2020-04-24 13:10:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587733860.0,2020-04-24 13:11:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587733920.0,2020-04-24 13:12:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587733980.0,2020-04-24 13:13:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587734040.0,2020-04-24 13:14:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587734100.0,2020-04-24 13:15:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587734160.0,2020-04-24 13:16:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587734220.0,2020-04-24 13:17:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587734280.0,2020-04-24 13:18:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587734340.0,2020-04-24 13:19:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587734400.0,2020-04-24 13:20:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587734460.0,2020-04-24 13:21:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587734520.0,2020-04-24 13:22:00,3,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,3,set(),18106,1,2,0,set(),0,0,0,0,1.0,1.0,,,1.0,,,,
1587734580.0,2020-04-24 13:23:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,3,set(),18106,1,2,0,set(),0,0,0,0,1.0,,1.0,1.0,,,,,
1587734640.0,2020-04-24 13:24:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587734700.0,2020-04-24 13:25:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587734760.0,2020-04-24 13:26:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587734820.0,2020-04-24 13:27:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587734880.0,2020-04-24 13:28:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587734940.0,2020-04-24 13:29:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587735000.0,2020-04-24 13:30:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,3,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587735060.0,2020-04-24 13:31:00,3,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,1,4,0,0,3,set(),18106,0,2,0,set(),0,0,0,0,,1.0,,,,,,,
1587735120.0,2020-04-24 13:32:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,10,set(),18106,0,10,0,set(),0,0,0,0,,,,,,,,,
1587735180.0,2020-04-24 13:33:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,5,set(),18106,0,5,0,set(),0,0,0,0,,,,,,,,,
1587735240.0,2020-04-24 13:34:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587735300.0,2020-04-24 13:35:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587735360.0,2020-04-24 13:36:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587735420.0,2020-04-24 13:37:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
